,brand,name,elements
0,아비브,아비브 부활초 크림 뉴트리션 튜브,"['정제수', '부틸렌글라이콜', '글리세린', '트루로즈오브예리코추출물', '카프릴릭', '카프릭트라이글리세라이드', '다이아이소스테아', '릴말레이트', '코코넛야자오일', '시어버터', '세테아릴알코올', '다이글리세린', '펜틸렌글라이콜', '1-헥산다이올', '2-헥산다이올', '비스-다이글리세릴폴리아실아디페이트-2', '카프릭', '미리스틱', '스테아릭트라이글리세라이드', '아이소트라이데실아이소노나노에이트', '아라키딜알코올', '호호바에스터', '카나우바왁스', '락토바실러스발효물', '차가버섯추출물', '블루아가베잎추출물', '판테놀', '합성비즈왁스', '비닐다이메티콘', '글리세릴스테아레이트', '아라키딜글루코사이드', '하이드록시에틸아크릴레이트', '소듐아크릴로일다이메틸타우레이트코폴리머', '아크릴레이트', 'C10-30알킬아크릴레이트크로스폴리머', '팔미틱애씨드', '트로메타민', '하이드로제네이티드레시틴', '다이포타슘글리시리제이트', '에틸헥실글리세린', '아데노신', '트라이소듐에틸렌다이아민다이석시네이트', '토코페롤', '메틸프로판다이올', '베헤닐알코올', 'C12-16알코올', '잔탄검']"
1,한율,한율 어린쑥 수분진정 크림,"['정제수', '글리세린', '부틸렌글라이콜', '다이카프릴릴에터', '황해쑥잎추출물잎수', '메틸트라이메티콘', '나이아신아마이드', '비스-하이드록시에톡시프로필다이메티콘', '1-헥산다이올', '2-헥산다이올', 'C14-22알코올', '세틸에틸헥사노에이트', '판테놀', '글리세릴스테아레이트시트레이트', '하이드로제네이티드폴리', '하이드록시에틸아크릴레이트', '소듐아크릴로일다이메틸타우레이트코폴리머', '스테아릭애씨드', '암모늄아크릴로일다이메틸타우레이트', '브이피코폴리머', '글리세릴폴리메타크릴레이트', '글리세릴스테아레이트', '폴리메틸실세스퀴옥세인', '팔미틱애씨드', '아라키딜알코올', 'C12-20알킬글루코사이드', '향료', '글리세릴카프릴레이트', '베헤닐알코올', '2-부탄다이올', '3-부탄다이올', '아라키딜글루코사이드', '에틸헥실글리세린', '다이소듐이디티에이', '솔비탄아이소스테아레이트', '프로판다이올', '레시틴', '락토바실러스발효물', '글루코오스', '토코페롤', '이눌린라우릴카바메이트', '황해쑥잎추출물', '병풀꽃추출물', '병풀잎추출물', '병풀줄기추출물']"
2,성분에디터,성분에디터 그린토마토 포어 리프팅 앰플 플러스,"['정제수', '부틸렌글라이콜', '글리세린', '자일리톨', '1-헥산다이올', '2-헥산다이올', '나이아신아마이드', '다이프로필렌글라이콜', '에탄올', '트레할로오스', '잔탄검', 'C12-13파레스-9', '카보머', '다이포타슘글리시리제이트', '트로메타민', '알란토인', '폴리메틸실세스퀴옥세인', '소듐시트레이트', '아데노신', '인도멀구슬나무잎추출물', '인도멀구슬나무꽃추출물', '스타이렌', '아크릴레이트코폴리머', '토마토추출물', '데이지꽃추출물', '하이드롤라이즈드콜라겐', '판테놀', '글루코노락톤', '아이비고드열매추출물', '호박가루', '가지열매추출물', '홀리바질잎추출물', '울금뿌리추출물', '참산호말추출물', '드럼스틱씨오일', '하이드로제네이티드폴리아이소부텐', '하이드로제네이티드레시틴', '소듐하이알루로네이트', '세라마이드엔피', '하이알루로닉애씨드', '하이드롤라이즈드하이알루로닉애씨드', '하이드록시프로필트라이모늄하이알루로네이트', '소듐하이알루로네이트크로스폴리머', '칡뿌리추출물', '대왕송잎추출물', '당느릅나무뿌리추출물', '달맞이꽃추출물', '지모뿌리추출물', '에틸헥실글리세린', '메틸다이하이드로자스모네이트', '다이소듐이디티에이', '페네틸알코올', '소듐클로라이드', '다이소듐포스페이트', '포타슘클로라이드', '포타슘포스페이트', '에틸리날룰', '에틸렌브라실레이트', '리날릴아세테이트', '유칼립톨', '메틸렌다이옥시페닐메틸프로판알', '2-t-부틸사이클로헥실아세테이트', '헥세닐아세테이트', '3-헥센올', '2-다이메틸-3-사이클로헥신카복스알데하이드', '4-다이메틸-3-사이클로헥신카복스알데하이드', '벤질글라이콜', '토코페롤', '라즈베리케톤']"
3,달바,달바 화이트 트러플 퍼스트 스프레이 세럼,"['정제수', '다이프로필렌글라이콜', '네오펜틸글라이콜다이헵타노에이트', '글리세레스-26', '1-헥산다이올', '2-헥산다이올', '나이아신아마이드', '솔비톨', '하이드록시에틸우레아', '아보카도오일', '멕시칸치아씨추출물', '바질꽃', '바질잎추출물', '바질줄기추출물', '베타인', '귀리커넬추출물', '부틸렌글라이콜', '흰서양송로추출물', '글리세린', '해바라기씨오일', '토코페릴아세테이트', '다이소듐이디티에이', '다이포타슘글리시리제이트', '아데노신', '소듐팔미토일프롤린', '비피다발효용해물', '알바수련꽃추출물', '하이드롤라이즈드하이알루로닉애씨드', '돌콩오일', '스노우로투스추출물', '인삼추출물', '연꽃꽃추출물', '뽕나무껍질추출물', '마돈나백합꽃추출물', '에델바이스추출물', '약모밀추출물', '프리지어추출물', '카보머', '데이지꽃추출물', '알지닌', '포타슘솔베이트', '아나토씨오일', '토코페롤', '향료', '리날룰', '헥실신남알', '리모넨', '시트로넬올']"
4,에스네이처,에스네이처 아쿠아 스쿠알란 수분크림,"['정제수', '스쿠알란', '글리세린', '1-헥산다이올', '2-헥산다이올', '베타인', '판테놀', '소듐하이알루로네이트', '하이드롤라이즈드콜라겐', '하이드록시프로필트라이모늄하이알루로네이트', '하이드롤라이즈드하이알루로닉애씨드', '소듐아세틸레이티드하이알루로네이트', '아세틸헥사펩타이드-8', '아데노신', '하이알루로닉애씨드', '하이드롤라이즈드소듐하이알루로네이트', '소듐하이알루로네이트크로스폴리머', '포타슘하이알루로네이트', '아크릴레이트', 'C10-30알킬아크릴레이트크로스폴리머', '알지닌', '알란토인', '자일리틸글루코사이드', '안하이드로자일리톨', '자일리톨', '글루코오스', '부틸렌글라이콜', '암모늄아크릴로일다이메틸타우레이트', '브이피코폴리머', '카프릴릴글라이콜']"
5,차앤박,차앤박 프로폴리스 액티브 앰플,"['정제수', '부틸렌글라이콜', '글리세린', '1-헥산다이올', '2-헥산다이올', '폴리솔베이트20', '도둑놈의지팡이뿌리추출물', '띠뿌리추출물', '하이드록시에틸셀룰로오스', '알지닌', '카보머', '알란토인', '마데카소사이드', '더덕뿌리추출물', '레몬밤잎추출물', '무화과추출물', '석류추출물', '펜틸렌글라이콜', '소듐하이알루로네이트', '센티드제라늄꽃오일', '베타-글루칸', '카프릴릴글라이콜', '소듐시트레이트', '하이드록시페닐프로파미도벤조익애씨드', '꿀추출물', '소듐락테이트', '아크릴레이트', 'C10-30알킬아크릴레이트크로스폴리머', '시트릭애씨드', '아스코빌팔미테이트', '바이오틴', '팔미토일트라이펩타이드-1', '팔미토일테트라펩타이드-7', '다이소듐이디티에이', '시트로넬올', '제라니올']"
6,리얼베리어,리얼베리어 익스트림 크림,"['정제수', '부틸렌글라이콜', '카프릴릭', '카프릭트라이글리세라이드', '글리세린', '세테아릴알코올', '프로판다이올', '판테놀', '미리스토일', '팔미토일옥소스테아라마이드', '아라카마이드엠이에이', '글리세릴스테아레이트', '폴리글리세릴-10다이스테아레이트', '다이메티콘', '솔비탄스테아레이트', '겨우살이열매추출물', '1-헥산다이올', '2-헥산다이올', '메도우폼씨오일', '올리브오일', '하이드로제네이티드식물성오일', '자일리틸글루코사이드', '안하이드로자일리톨', '자일리톨', '글루코오스', '토코페릴아세테이트', '피토스테롤', '포스포리피드', '다이하이드록시아이소프로필팔모일팜아마이드', '비스-카프릴로일옥시팔미타미도아이소프로판올', '알란토인', '아세틸헵타펩타이드-4', '해바라기씨오일', '살비아오일', '광곽향오일', '소두구씨오일', '콘민트오일', '캐모마일꽃오일', '멕시칸주니퍼오일', '바이오사카라이드검-1', '소듐하이알루로네이트', '아세틸다이펩타이드-1세틸에스터', '마데카소사이드', '스테아릭애씨드', '카보머', '카프릴릴글라이콜', '솔비탄라우레이트', '하이드록시에틸셀룰로오스', '소듐레불리네이트', '글리세릴카프릴레이트', 'p-아니식애씨드']"
7,구달,구달 청귤 비타C 잡티케어 세럼,"['부틸렌글라이콜', '나이아신아마이드', '다이프로필렌글라이콜', '메틸글루세스-20', '정제수', '1-헥산다이올', '2-헥산다이올', '글리세레스-26', '알부틴', '아이리쉬모스추출물', '사탕수수추출물', '하이드롤라이즈드호호바에스터', '소듐하이알루로네이트', '베르가모트오일', '인도멀구슬나무꽃추출물', '홀리바질잎추출물', '인도멀구슬나무잎추출물', '울금뿌리추출물', '참산호말추출물', '라벤더오일', '레몬껍질오일', '일랑일랑꽃오일', '오렌지껍질오일', '유칼립투스잎추출물', '감초뿌리추출물', '캐모마일꽃추출물', '녹차추출물', '병풀추출물', '로즈마리잎추출물', '호장근뿌리추출물', '병풀잎추출물', '암모늄아크릴로일다이메틸타우레이트', '브이피코폴리머', '판테놀', '콜레스-24', '트로메타민', '에틸헥실글리세린', '알란토인', '토코페릴아세테이트', '아데노신', '소듐파이테이트', '아스코빌글루코사이드', '다이포타슘글리시리제이트', '글리세린', '마데카소사이드', '말토덱스트린', '사카라이드하이드롤리세이트', '토코페롤', '아시아티코사이드', '카보머', '잔탄검', '리모넨', '리날룰']"
8,피지오겔,피지오겔 DMT 페이셜 크림,"['정제수', '카프릴릭', '카프릭트라이글리세라이드', '글리세린', '펜틸렌글라이콜', '코코넛야자오일', '하이드로제네이티드레시틴', '시어버터', '하이드록시에틸셀룰로오스', '스쿠알란', '카보머', '잔탄검', '소듐카보머', '세라마이드엔피']"
9,라네즈,라네즈 크림스킨,"['정제수', '부틸렌글라이콜', '글리세린', '메도우폼씨오일', '아이소펜틸다이올', '1-헥산다이올', '2-헥산다이올', '스쿠알란', '폴리글리세릴-10스테아레이트', '글리세릴스테아레이트시트레이트', '소듐스테아로일글루타메이트', '이눌린라우릴카바메이트', '글리세릴카프릴레이트', '에틸헥실글리세린', '프로판다이올', '다이소듐이디티에이', '카보머', '만니톨', '아크릴레이트', '스테아릴메타크릴레이트코폴리머', '흰목이버섯포자낭과추출물', '하이알루로닉애씨드', '녹차추출물', '잔탄검', '세라마이드엔피', '동백나무꽃추출물', '토코페롤', '아세틸테트라펩타이드-11']"
10,에스트라,에스트라 리제덤365 모공탄력 캡슐세럼,"['정제수', '부틸렌글라이콜', '나이아신아마이드', '글리세린', '다이메티콘', '1-헥산다이올', '2-헥산다이올', '하이드로제네이티드폴리데센', '스테아릭애씨드', '하이드록시프로필비스팔미타마이드엠이에이', '만니톨', '비닐다이메티콘크로스폴리머', '폴리메틸메타크릴레이트', '카보머', '티몰트라이메톡시신나메이트', '소듐하이알루로네이트', '잔탄검', '글리세릴카프릴레이트', '소듐스테아로일글루타메이트', '소듐폴리아크릴로일다이메틸타우레이트', '아크릴레이트', '암모늄메타크릴레이트코폴리머', '다이소듐이디티에이', '에틸헥실글리세린', '아데노신', '트로메타민', '콜레스테롤', '덱스트린', '카카오추출물', '실리카', '올레아놀릭애씨드', '3-O-에틸아스코빅애씨드', '하이드롤라이즈드익스텐신', '호호바씨오일', '폴리글리세릴-10라우레이트', '토코페롤', '하이드로제네이티드레시틴']"
11,아이소이,아이소이 잡티세럼,"['정제수', '다마스크장미꽃수', '글리세린', '에탄올', '알부틴', '베타인', '트레할로오스', '다마스크장미꽃오일', '비타민나무열매추출물', '아사이팜열매추출물', '로우스위트블루베리추출물', '인디안구스베리열매추출물', '크랜베리추출물', '바위돌꽃뿌리추출물', '고삼뿌리추출물', '블랙윌로우나무껍질추출물', '약모밀추출물', '잔탄검', '알란토인', '판테놀', '붉나무충영추출물', '올리브나무잎추출물', '감국꽃추출물', '회화나무싹추출물', '꿀풀잎추출물', '밤껍질추출물', '흰버드나무껍질추출물', '병풀추출물', '부틸렌글라이콜', '1-헥산다이올', '2-헥산다이올', '포트마리골드꽃추출물', '황금추출물', '모란뿌리추출물', '스페인감초뿌리추출물']"
