,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
0,아비브,아비브 부활초 크림 뉴트리션 튜브,53,43,4,76,21,3,0,0,0,0,0,0,80,20,1,31,105,119,89,1,16,9,77,76,36,52,32,23,36,49,9,85,29,33,6,141,5,13,11,74
1,한율,한율 어린쑥 수분진정 크림,28,57,15,32,68,0,0,0,0,0,0,0,69,29,2,29,37,65,51,0,13,0,41,47,21,25,4,15,12,20,5,41,22,24,3,68,5,6,3,32
2,성분에디터,성분에디터 그린토마토 포어 리프팅 앰플 플러스,25,62,13,36,40,24,0,0,0,0,0,0,67,31,2,35,94,114,68,0,14,4,57,65,43,52,31,29,31,56,13,101,30,27,1,166,8,3,2,65
3,달바,달바 화이트 트러플 퍼스트 스프레이 세럼,50,46,4,75,21,4,0,0,0,0,0,0,70,28,2,66,138,284,165,3,25,10,117,207,83,95,43,34,71,114,11,185,87,74,9,268,17,12,13,100
4,에스네이처,에스네이처 아쿠아 스쿠알란 수분크림,34,57,9,79,21,1,0,0,0,0,0,0,78,22,1,84,127,302,195,4,35,3,124,174,105,101,39,62,61,119,5,161,77,79,9,354,9,13,9,90
5,차앤박,차앤박 프로폴리스 액티브 앰플,48,47,5,76,21,3,0,0,0,0,0,0,73,25,2,7,23,42,24,1,2,3,23,30,8,10,11,4,24,16,1,17,10,8,2,35,6,0,4,18
6,리얼베리어,리얼베리어 익스트림 크림,50,45,6,81,19,1,0,0,0,0,0,0,78,22,1,21,109,143,103,2,14,3,67,99,50,57,24,20,40,42,29,90,39,51,4,154,9,5,14,41
7,구달,구달 청귤 비타C 잡티케어 세럼,27,62,11,23,27,50,0,0,0,0,0,0,55,41,4,108,136,318,176,11,29,9,120,231,90,120,43,48,75,123,15,208,95,98,10,311,16,16,9,137
8,피지오겔,피지오겔 DMT 페이셜 크림,54,41,5,82,18,1,0,0,0,0,0,0,79,21,1,54,247,296,189,4,12,6,201,288,51,43,32,20,86,125,17,188,78,110,8,274,19,17,22,65
9,라네즈,라네즈 크림스킨,56,40,4,84,16,0,0,0,0,0,0,0,81,19,1,37,86,116,94,2,16,9,65,75,56,40,28,20,18,42,11,118,25,38,3,154,5,6,4,61
10,에스트라,에스트라 리제덤365 모공탄력 캡슐세럼,32,58,10,46,29,25,0,0,0,0,0,0,67,31,2,13,29,56,40,1,7,1,20,33,14,21,9,9,13,21,3,25,10,21,0,62,4,3,0,12
